id,Course,OPIc,OPIC,Level
402,300,IL,4,1
403,100,NH,3,1
404,300,IM,5,2
405,300,IM,5,2
406,300,IL,4,1
407,200,NH,3,1
408,200,IL,4,1
409,200,IL,4,2
410,300,IM,5,2
411,100,IM,5,3
412,100,NL,1,1
413,300,IM,5,1
414,300,IL,4,1
415,100,NH,3,1
416,300,IL,4,1
417,200,IM,5,1
418,300,IM,5,2
419,300,IM,5,3
420,300,IM,5,1
421,300,IH,6,1
422,300,IH,6,3
423,200,IL,4,1
424,200,IM,5,2
425,300,AM,8,5
426,100,IL,4,1
427,300,IL,4,1
428,200,IL,4,2
429,200,NH,3,1
430,200,IL,4,1
431,200,IM,5,1
432,200,IM,5,1
433,300,IM,5,1
434,300,IH,6,5
435,300,IM,5,3
436,100,NH,3,1
437,300,IM,5,2
438,100,NH,3,1
439,100,NH,3,1
440,200,IL,4,1
441,100,NM,2,1
442,300,IM,5,2
443,300,IL,4,2
444,300,IL,4,1
445,300,IM,5,1
446,200,IM,5,2
447,300,IM,5,2
448,100,NM,2,1
449,300,IM,5,1
450,300,IM,5,2
451,300,IH,6,4
452,300,IH,6,2
453,300,IL,4,1
454,300,IM,5,1
455,200,IL,4,1
456,300,IL,4,2
457,200,NH,3,1
458,300,NH,3,1
459,200,NM,2,1
460,300,IH,6,2
461,100,NM,2,1
462,300,IM,5,3
463,300,IM,5,1
464,200,IL,4,1
465,100,NH,3,1
466,100,NM,2,1
467,300,IL,4,1
468,300,IM,5,3
469,300,IL,4,1
470,300,IM,5,2
471,100,IL,4,2
472,200,IL,4,1
473,200,AL,7,4
474,100,NH,3,1
475,300,IM,5,1
476,200,IL,4,1
477,100,NH,3,1
478,300,IH,6,2
479,300,IL,4,2
480,200,IL,4,1
481,300,IL,4,1
482,300,IM,5,3
483,100,NH,3,2
484,300,IL,4,1
485,300,IM,5,3
486,100,NH,3,1
487,200,IM,5,1
488,300,IH,6,2
489,300,IM,5,3
490,300,IH,6,1
491,300,IM,5,1
492,300,IH,6,3
493,200,IL,4,1
494,200,NM,2,1
495,300,IH,6,4
496,300,IL,4,1
497,300,IL,4,1
498,200,NM,2,1
499,200,IL,4,1
500,300,IM,5,1
501,200,IL,4,1
502,300,IL,4,1
503,300,IL,4,1
504,200,IL,4,2
505,100,NH,3,1
506,200,IL,4,1
507,300,IL,4,1
508,300,IM,5,2
509,300,IM,5,1
510,300,IM,5,2
511,200,IL,4,2
512,100,NM,2,1
513,300,IL,4,1
514,200,IL,4,2
515,200,IM,5,1
516,300,IL,4,3
517,300,IM,5,2
518,300,NH,3,1
519,200,IL,4,2
520,300,IM,5,1
521,200,IL,4,2
522,300,IH,6,3
523,300,IM,5,2
524,200,NM,2,1
525,300,IH,6,1
526,300,NH,3,1
527,300,IL,4,2
528,300,IL,4,1
529,300,IL,4,1
530,300,IL,4,1
531,200,NH,3,1
532,200,IM,5,1
533,200,IM,5,2
534,300,IM,5,2
535,200,IL,4,2
536,300,IL,4,2
537,300,IL,4,1
538,300,IH,6,4
539,200,IM,5,2
540,300,IM,5,2
541,300,IL,4,1
542,100,NH,3,1
543,200,IL,4,3
544,100,NH,3,1
545,100,NH,3,1
546,300,IH,6,1
547,300,IL,4,3
548,300,IM,5,1
549,100,NH,3,1
550,200,IL,4,1
551,300,IH,6,2
552,100,NM,2,1
553,200,AL,7,1
554,200,IL,4,1
555,100,NM,2,1
556,200,IM,5,3
